Model,Time(s),Accuracy,F1_weighted,ROC_AUC
LogisticReg,0.1,0.7943060498220641,0.7896734473491884,0.8421096650263317
RandomForest,0.5,0.7879003558718861,0.7806915743850624,0.8243438660105327
KNN,1.7,0.7672597864768683,0.7614753442899943,0.7453906047656048
DecisionTree,0.1,0.7330960854092526,0.7371611989457637,0.6616377449710783
NaiveBayes,0.1,0.6540925266903914,0.6758785218705279,0.817992963826297
