Model,Time(s),Accuracy,F1_weighted,ROC_AUC
RandomForest,0.2,0.6507352941176471,0.6286639603029336,0.8035696726839682
SVM,0.2,0.6470588235294118,0.6239100493535652,0.845914027654044
GradientBoosting,1.3,0.625,0.6188633817731052,0.7554709225003345
LogisticRegression,0.0,0.6066176470588235,0.5846120445604475,0.8326605676828615
AdaBoost,0.1,0.5698529411764706,0.5513896258235396,0.7851763024620166
KNN,0.0,0.5441176470588235,0.5265429983736272,0.6014321153819265
DecisionTree,0.0,0.5183823529411765,0.5188759951173736,0.5711895689401617
