Model,Time(s),R2_Score,RMSE,MAE
GradientBoosting,5.8,0.8495242498139912,0.8019614206690471,0.03658548201469248
RandomForest,2.9,0.7995430275334635,0.9256158896941019,0.0439130559926949
LinearRegression,0.1,0.691763194743449,1.1477900756964436,0.2508031820112738
ElasticNet,0.1,0.6049702324425117,1.2993768636162988,0.21567258803307474
SVR,0.8,0.42514876620902864,1.5674653595760353,0.10970866194638941
