Model,Time(s),R2_Score,RMSE,MAE
GradientBoosting,0.3,0.892751468964243,4439.320661691426,2640.921999641505
RandomForest,0.5,0.879715071742792,4701.391813070951,2650.1068522507444
LinearRegression,0.0,0.8070318769603817,5954.751277354818,4182.309093812744
ElasticNet,0.0,0.3356576946706452,11048.842799285023,7987.706600774806
SVR,0.1,-0.13236001794543073,14424.909704229036,9266.953234385095
